洋菓子の「エクレア」の意味はなんでしょうか？,稲妻,台風,突風,吹雪,ライフスタイル
卵を長持ちさせるという方法とは何でしょうか？,卵の丸味のある方を上にしておく,卵のとがった方を上にしておく,卵を横向きに置く,卵の上下を一日毎に入れ替える,ライフスタイル
パフェとサンデーの違いは何でしょうか？,作られた国,値段,器,具材,ライフスタイル
「チャーハン」と「焼き飯」の違いは何でしょう？,卵を入れる順番,違いはない,具材,油,ライフスタイル
肉の焼き加減でレアより生に近いものは次のうち、どれでしょう？,ブルー,レッド,ピンク,ホワイト,ライフスタイル
シーザーサラダのシーザーの由来は何でしょう？,料理人,皇帝,俳優,猫,ライフスタイル
掃除機のコードの黄色の印の意味は何でしょう？,黄色シールまでコードを伸ばさなければいけない,黄色シール以降はコードを出してはいけない,コードを伸ばして10mの場所,もうすぐコードがなくなることを知らせる,ライフスタイル
釣り上げたばかりのマグロを食べない理由は何でしょう？,おいしくないから,身が堅いから,凍らせて寄生虫を殺す必要があるから,死後数時間は血液に毒があるから,ライフスタイル
近畿地方の一部や中国地方の一部で「サンライズ」といえば、どんなパンのことでしょう？,メロンパン,クリームパン,ベーグル,チョココロネ,ライフスタイル
かつては「シメジ」として売られていたものの、全く別のキノコであるのはどれでしょう？,ヒラタケ,クリタケ,ブナシメジ,ツクリタケ,ライフスタイル
和名を「ツクリタケ」という、キノコはどれでしょう？,マッシュルーム,エリンギ,ポルチーニ,トリュフ,ライフスタイル
一般的に流通しているフカヒレは、何のヒレでしょう？,ヨシキリザメ,ウバザメ,イタチザメ,ネコザメ,ライフスタイル
カップラーメンのパッケージには必ず上級、標準のどちらかが印刷されていますが、その違いはなんでしょう？,かやくの量,標準小売価格,容器の材質,液体スープの有無,ライフスタイル
血圧測定時に上腕に巻き付ける環状帯と、骨付き肉の骨の部分に付ける巻き紙に共通する名前は何でしょう？,マンシェット,チョップフラワー,ペーパーフリル,ボーンリング,ライフスタイル
スーパーで販売されている魚や肉の切り身の下に敷かれている、血液などを吸い取る白いシートを何というでしょう？,ドラキュラマット,ヤマビルシート,バットマット,モスキートシート,ライフスタイル
スーパーなどにある購入した商品を袋詰めする台のことを何というでしょう？,サッカー台,ラグビー台,バレー台,テニス台,ライフスタイル
醍醐味という言葉は、「醍醐」という食べ物が美味しいことから出来たとされますが、「醍醐」とはどのような食べ物でしょうか？,乳製品,魚の燻製,納豆の一種,貝の干物,ライフスタイル
炭酸ガスが弾ける際の擬声語が語源となっているカクテルは、次のうちどれでしょう？,フィズ,サワー,スリング,コリンズ,ライフスタイル
次のうち、ウォッカとオレンジジュースを合わせたカクテルはどれでしょう？,スクリュードライバー,ピニャ・コラーダ,マルガリータ,モスコミュール,ライフスタイル
次のうち、ウォッカとトマトジュースを合わせたカクテルはどれでしょう？,ブラッディ・マリー,スクリュー・ドライバー,レッドアイ,モスコミュール,ライフスタイル
次のうち、ウォッカ、コアントロー、ライムジュース、クランベリージュースを合わせたカクテルはどれでしょう？,コスモポリタン,マティーニ,ゴッドファーザー,マンハッタン,ライフスタイル
次のうち「カクテルの王様」ともいわれる、ジンとベルモットを合わせたカクテルはどれでしょう？,マティーニ,コスモポリタン,ゴッドファーザー,マンハッタン,ライフスタイル
次のうち、ジン、チェリｰブランデー、レモンジュース、ソーダ水等を合わせたカクテルはどれでしょう？,シンガポール・スリング,マイタイ,ピニャ・コラーダ,カイピリーニャ,ライフスタイル
次のうち、テキーラ、オレンジジュース、グレナデンシロップを合わせたカクテルはどれでしょう？,テキーラ・サンライズ,マルガリータ,ピニャ・コラーダ,カイピリーニャ,ライフスタイル
次のうち、ラム、ココナッツミルク、パイナップルジュースを合わせたカクテルはどれでしょう？,ピニャ・コラーダ,カイピリーニャ,ダイキリ,マイタイ,ライフスタイル
次のうち、シャンパンとオレンジジュースを合わせたカクテルはどれでしょう？,ミモザ,キール,スクリュードライバー,モスコミュール,ライフスタイル
次のうち、テキーラ、コアントロー、レモンジュース等を合わせたカクテルはどれでしょう？,マルガリータ,コスモポリタン,テキーラ・サンライズ,ルシアン,ライフスタイル
次のうち、ウォッカ、ジン、カカオリキュールを合わせたカクテルで、アルコール度数が高いわりに甘くて飲みやすいことから「レディキラーカクテル」ともいわれるのは、どれでしょう？,ルシアン,ロングアイランドアイスティー,ゴッドファーザー,ゴッドマザー,ライフスタイル
次のうち、ウイスキーとアマレットを合わせたカクテルはどれでしょう？,ゴッドファーザー,ゴッドマザー,マンハッタン,コスモポリタン,ライフスタイル
次のうち、ラバに蹴飛ばされたように効いてくることから名前が付けられたとされる、ウォッカ、ライムジュース、ジンジャーエール等を合わせたカクテルはどれでしょう？,モスコミュール,マイタイ,ダイキリ,カイピリーニャ,ライフスタイル
次のうち、ウォッカとアマレットを合わせたカクテルはどれでしょう？,ゴッドマザー,ゴッドファーザー,コスモポリタン,ルシアン,ライフスタイル
ポルトガル語で「田舎者」という意味を持つ、カシャッサにライムと砂糖を入れたカクテルは、次のうちどれでしょう？,カイピリーニャ,ピニャ・コラーダ,ダイキリ,マイタイ,ライフスタイル
キューバの鉱山の名前に由来し、ラムとライムジュースを合わせたカクテルは、次のうちどれでしょう？,ダイキリ,マイタイ,キール,ミモザ,ライフスタイル
次のうち「カクテルの女王」ともいわれる、ウイスキー、ベルモット、ビターズを合わせたカクテルはどれでしょう？,マンハッタン,シンガポール・スリング,コスモポリタン,ゴッドマザー,ライフスタイル
次のうち、白ワインにカシスリキュールを合わせたカクテルはどれでしょう？,キール,ミモザ,アメリカーノ,ロングアイランドアイスティー,ライフスタイル
